Time,Patch,WW,WH,WR,WB,HH,HR,HB,RR,RB,BB
138,1,25.1633177884143,0.0623182212855857,0.000255258428562022,0.000267371666427045,0.0275521262326497,3.25429793415614e-05,3.29888492396418e-05,6.36956997257652e-08,1.91087099177296e-07,1.2739139945153e-07
139,1,25.1604987953758,0.0648638264681058,0.000344248815129417,0.000361845714704436,0.0256969349874298,4.27973899434734e-05,4.34784840817405e-05,9.72991626095785e-08,2.91897487828736e-07,1.94598325219157e-07
140,1,25.1577045139955,0.0673265075973521,0.000448693308323258,0.000473264902394125,0.0239730224651316,5.46037380623121e-05,5.55977857146075e-05,1.42006807470773e-07,4.26020422412318e-07,2.84013614941545e-07
141,1,25.1549261668043,0.069715075784232,0.000568346766932233,0.000601534880300151,0.0223742117126134,6.79144346441297e-05,6.93102064689827e-05,1.99395974978998e-07,5.98187924936994e-07,3.98791949957996e-07
142,1,25.1521574092838,0.0720373242859309,0.000702624290578745,0.000746196394563849,0.0208941449695954,8.26518871120466e-05,8.45476587350694e-05,2.70824517574678e-07,8.12473552724034e-07,5.41649035149356e-07
143,1,25.1493946375148,0.0742997882650519,0.000850645239923258,0.000906466247726184,0.0195263582966072,9.87119418861916e-05,0.000101213485504326,3.57363374019181e-07,1.07209012205754e-06,7.14726748038362e-07
144,1,25.1466372230644,0.0765076083823569,0.00101128050064891,0.00108128266546987,0.0182643474753468,0.000115967484514061,0.00011918570418776,4.59745667671371e-07,1.37923700301411e-06,9.19491335342742e-07
145,1,25.1438869106446,0.0786645746274371,0.00118324313186802,0.00126938431790017,0.0171016489603679,0.000134277748282501,0.000138324931118033,5.78421905137829e-07,1.73521036402802e-06,1.15677291619202e-06
146,1,25.1411467287622,0.0807734637200157,0.00136521625312403,0.00146942556492031,0.0160319099699471,0.000153496583398918,0.000158482048081507,7.13642049150553e-07,2.14058114426227e-06,1.42685185364389e-06
147,1,25.1384202624934,0.0828363510862967,0.00155594576093378,0.00168006470168767,0.015048945969722,0.000173479185108518,0.000179504893896582,8.65545576300429e-07,2.59539719953219e-06,1.72956681543056e-06
148,1,25.135711129837,0.0848548815431549,0.00175430282162679,0.00190002794319115,0.0141467857862416,0.000194087220304775,0.000201243736159087,1.03424783735009e-06,3.09938208729061e-06,2.06442776496477e-06
149,1,25.1330226011477,0.0868304924311173,0.00195932123018838,0.00212815243908912,0.0133197053697766,0.000215192461750064,0.000223555490080564,1.21991561416345e-06,3.65211341730613e-06,2.43072287247312e-06
150,1,25.1303573381293,0.088764587855525,0.00217021449351808,0.00236341172539129,0.0125622515042243,0.000236679111432973,0.000246306758078874,1.42282778337914e-06,4.25317090861285e-06,2.82761250029074e-06
151,1,25.1277172365063,0.0906586655378267,0.00238637708222727,0.00260492690054867,0.0118692568195661,0.00025844501833581,0.000269375815650288,1.64341897728008e-06,4.90224922386203e-06,3.25420641904418e-06
152,1,25.1251033561412,0.0925143995768522,0.00260737379771486,0.00285196656789282,0.011235847419992,0.000280401994252541,0.000292653690327872,1.88230544937057e-06,5.59923398934694e-06,3.70962254713077e-06
153,1,25.122515921648,0.0943336836832974,0.00283292068228213,0.00310393828185937,0.01065744436311,0.000302475418321628,0.000316044485964621,2.14029328832049e-06,6.34424172697787e-06,4.19302704159441e-06
154,1,25.1199543755628,0.0961186400385562,0.00306286037162879,0.00336037388681322,0.010129760102019,0.000324603297551873,0.000339465095345597,2.41836975628167e-06,7.13762584046783e-06,4.70365652489056e-06
155,1,25.1174174655913,0.0978715992379986,0.00329713428871432,0.0036209107874635,0.00964879087939515,0.000346734926362028,0.000362844430622902,2.71767901664795e-06,7.97995174363138e-06,5.24082386203172e-06
156,1,25.1149033609352,0.0995950584210932,0.00353575374820388,0.0038852709873084,0.00921080612147186,0.000368829297993585,0.000386122319061589,3.03948458216221e-06,8.87194650329956e-06,5.80391025917523e-06
157,1,25.1124098018518,0.101291624508922,0.00377877163243244,0.00415323942245306,0.00881233576114736,0.000390853400759471,0.000409248196512081,3.38512136682597e-06,9.81442918302989e-06,6.39234685594603e-06
158,1,25.1099342839182,0.10296394858145,0.00402625588897555,0.00442464278587883,0.00845015625059259,0.000412780503222221,0.000432179705184388,3.7559404383788e-06,1.08082280731735e-05,7.00558889740653e-06
159,1,25.1074742745285,0.104614656471865,0.00427826573546724,0.00469932973487809,0.00812127587110868,0.000434588506375165,0.000454881278233415,4.15324960334931e-06,1.18540906852391e-05,7.64308533150483e-06
160,1,25.1050273826944,0.106246278471352,0.00453483333893167,0.00497715424115039,0.00782291998441595,0.000456258576478678,0.000477322830511825,4.5782586615551e-06,1.29526012384757e-05,8.30424883543822e-06
161,1,25.1025914532752,0.107861195194063,0.0047959539708181,0.00525796480079161,0.00755251693459482,0.000477774127635416,0.000499478667060849,5.0320343818599e-06,1.41041147585423e-05,8.98843114207068e-06
162,1,25.10016461875,0.109461600284909,0.00506158287194289,0.00554159855664894,0.00730768482960084,0.000499120131760021,0.000521326626451357,5.51546741729828e-06,1.53087110980843e-05,9.6949055015078e-06
163,1,25.0977453199617,0.111049478713469,0.00533163710869753,0.00582787930038325,0.00708621923958169,0.000520282703073095,0.00054284744005343,6.02925163183651e-06,1.65661690975253e-05,1.04228566211062e-05
164,1,25.0953323020086,0.112626598644272,0.00560600087419276,0.00611661836626257,0.00688608178054041,0.000541248898443295,0.000564024276858594,6.57387520860835e-06,1.78759594081154e-05,1.11713776775819e-05
165,1,25.0929245911423,0.11419451456062,0.00588453290353202,0.00640761752496984,0.00670538952187416,0.000562006677239559,0.00058484244024071,7.1496221815725e-06,1.92372534754826e-05,1.19394735568669e-05
166,1,25.0905214585843,0.115754579207055,0.00616707489672623,0.00670067310199107,0.00654240514004365,0.000582544969411586,0.000605289182838708,7.75658257125917e-06,2.06489455692179e-05,1.27260692059535e-05
167,1,25.0881223766808,0.117307961923886,0.0064534600598379,0.00699558066708496,0.00639552773102418,0.000602853806456771,0.000625353606921153,8.39466905299452e-06,2.21096844304298e-05,1.35300218234553e-05
168,1,25.0857269719336,0.118855671061966,0.00674352107847476,0.00729213976325041,0.00626328419160234,0.000622924476573575,0.000645026620062492,9.06363801529724e-06,2.36179110621821e-05,1.43501355651043e-05
169,1,25.0833349781396,0.120398578323293,0.00703709701907845,0.00759015825680454,0.00614432107824598,0.000642749671276117,0.00066430091843143,9.76311290734852e-06,2.51718992854275e-05,1.51851774427745e-05
170,1,25.0809461912753,0.12193744307319,0.0073340388118378,0.00788945599334347,0.00603739685370163,0.000662323596271736,0.000683170972692783,1.04926079016533e-05,2.67697958999246e-05,1.60338931478835e-05
171,1,25.0785604280493,0.123472935139611,0.0076342131312792,0.00818986756169939,0.00594137446134948,0.000681642030389183,0.000701633000010228,1.12515502915986e-05,2.84096580222855e-05,1.68950218410218e-05
172,1,25.0761774912489,0.125005655086905,0.00793750462939181,0.00849124407222142,0.00585521419597605,0.000700702326436678,0.000719684913708712,1.20393004909902e-05,3.00894859742405e-05,1.77673092874384e-05
173,1,25.0737971455837,0.126536151346619,0.00824381658417526,0.00879345393884383,0.00577796685999969,0.000719503355416935,0.000737326248221759,1.28551689183025e-05,3.18072508024563e-05,1.86495190062794e-05
174,1,25.0714191077463,0.128064933915105,0.0085530701066844,0.00909638271825913,0.00570876720836541,0.000738045400954169,0.000754558061388686,1.36984294183757e-05,3.35609161152153e-05,1.95404413401946e-05
175,1,25.0690430468572,0.129592483908446,0.00886520214754173,0.00939993208311769,0.00564682763469927,0.000756330006290979,0.00077138280634094,1.45683289894263e-05,3.53484537125666e-05,2.0438900018437e-05
176,1,25.0666685903194,0.131119259490218,0.00918016277855533,0.00970401820156423,0.00559143211624528,0.000774359790179356,0.00078780418018775,1.54640943013806e-05,3.71678538378881e-05,2.13437564552475e-05
177,1,25.0642953332179,0.132645698897293,0.00949791215746385,0.0100085697761824,0.00554193044622535,0.000792138248948519,0.000803826959547873,1.63849357120079e-05,3.90171312416044e-05,2.22539122090703e-05
178,1,25.0619228498328,0.134172221300185,0.00981841749762729,0.010313525954539,0.00549773277736811,0.000809669559100401,0.000819456832043688,1.73300495065031e-05,4.08943282446483e-05,2.31683100416144e-05
179,1,25.059550705887,0.13569922618676,0.0101416502798558,0.010618834278877,0.00545830449348537,0.000826958391419483,0.000834700231340425,1.82986190341231e-05,4.27975158802055e-05,2.40859339859771e-05
180,1,25.0571784703548,0.137227091884541,0.0104675838667429,0.0109244487994346,0.00542316141951312,0.000844009744488945,0.000849564181780339,1.92898153295091e-05,4.47247940429195e-05,2.50058087882599e-05
181,1,25.0548057259663,0.13875617374602,0.0107961916128106,0.0112303284361773,0.00539186537438271,0.000860828802746679,0.000864056157176143,2.03027976996974e-05,4.66742914027009e-05,2.59269990327088e-05
182,1,25.0524320778673,0.140286802417675,0.0111274455069629,0.0115364356381422,0.00536402006515055,0.0008774208217357,0.000878183956846343,2.13367146374337e-05,4.86441656520463e-05,2.68486081972679e-05
183,1,25.0500571601646,0.141819282503697,0.0114613153374053,0.0118427353588012,0.00533926731514484,0.000893791041030793,0.00089195560054448,2.23907052962539e-05,5.0632604463293e-05,2.7769777818845e-05
184,1,25.0476806402434,0.143353891820479,0.0117977683323446,0.0121491943395323,0.00531728361303973,0.000909944623315346,0.000905379242456202,2.34639016332876e-05,5.26378273320782e-05,2.86896868730461e-05
185,1,25.0453022207423,0.144890881321135,0.0121367692015839,0.0124557806713256,0.00529777696375225,0.000925886616199954,0.00091846310291273,2.45554311949101e-05,5.46580882785581e-05,2.96075513929197e-05
186,1,25.0429216391693,0.146430475685606,0.0124782804879852,0.0127624635908321,0.00528048401923349,0.000941621932472209,0.000931215415689533,2.56644204316301e-05,5.66916792486003e-05,3.05226243025922e-05
187,1,25.040538665407,0.147972874520039,0.0128222631322243,0.0130692134600349,0.00526516746705719,0.000957155344406758,0.000943644388616669,2.67899983826118e-05,5.8736934000423e-05,3.14341954223831e-05
188,1,25.0381530976983,0.149518254080953,0.0131686771567977,0.0133760018774729,0.00525161365613844,0.000972491488249128,0.000955758175479241,2.79313005577532e-05,6.07922322584303e-05,3.2341591602624e-05
189,1,25.0357647580606,0.151066769430046,0.0135174823837783,0.0136828018717683,0.00523963044136941,0.000987634875834257,0.000967564857696077,2.90874728599327e-05,6.28560039527165e-05,3.32441769584363e-05
190,1,25.0333734877006,0.152618556838318,0.0138686391060395,0.0139895881244024,0.00522904522346004,0.00100258990927249,0.000979072432853839,3.02576753283484e-05,6.49267332330059e-05,3.41413531045209e-05
191,1,25.0309791426769,0.154173736269575,0.0142221086566827,0.0142963371806061,0.00521970316220661,0.0010173608955413,0.000990288807541792,3.14410855216855e-05,6.70029619974151e-05,3.50325592995459e-05
192,1,25.0285815900165,0.155732413804394,0.0145778538451789,0.0146030276201689,0.00521146554447078,0.00103195205893778,0.00100122179257198,3.26369014169958e-05,6.90832927604408e-05,3.59172724355674e-05
193,1,25.0261807044458,0.157294683898159,0.0149358392483753,0.014909640171397,0.00520420829082786,0.00104636755025135,0.00101187909921277,3.38443437532361e-05,7.11663907602323e-05,3.67950068312834e-05
194,1,25.0237763658206,0.158860631398345,0.0152960313597924,0.0152161577609675,0.00519782058715901,0.00106061145221304,0.00102226833551201,3.50626577945376e-05,7.32509852694991e-05,3.76653138080475e-05
195,1,25.0213684572641,0.160430333276183,0.0156583986118073,0.0155225655000495,0.00519220362953124,0.00107468778131135,0.00103239700216721,3.62911145273139e-05,7.53358701284766e-05,3.85277810452458e-05
196,1,25.0189568639717,0.162003860055182,0.016022911292774,0.0158288506128389,0.0051872694725612,0.00108860048646062,0.0010422724877237,3.75290113369464e-05,7.74199035623928e-05,3.9382031726928e-05
197,1,25.0165414726046,0.16358127694242,0.0163895413852658,0.0161350023176511,0.00518293997305502,0.00110235344527331,0.00105190206314049,3.87756722332586e-05,7.95020073788296e-05,4.02277235038827e-05
198,1,25.0141221711819,0.165162644687132,0.0167582623528956,0.0164410116730432,0.00517914582202529,0.00111595045883098,0.00106129287595203,4.0030447708974e-05,8.15811656616831e-05,4.10645473041742e-05
199,1,25.0116988493667,0.166748020203542,0.0171290489019486,0.01674687140219,0.00517582565911036,0.00112939524585764,0.00107045194434946,4.12927143206805e-05,8.36564230858894e-05,4.18922260292773e-05
200,1,25.0092713990239,0.168337457000025,0.0175018767407102,0.0170525757079852,0.00517292526386836,0.00114269143705699,0.00107938615148612,4.25618740763208e-05,8.57268829684099e-05,4.27105131711134e-05
201,1,25.0068397149036,0.169931005457435,0.0178767223548153,0.0173581200896915,0.00517039681868485,0.00115584257018047,0.00108810224025226,4.38373537020989e-05,8.77917051549759e-05,4.35191913811062e-05
